year,month,DOC  [mg L-1]
1939,1,4.41
1939,2,3.36
1939,3,4.51
1939,4,4.24
1939,5,4.14
1939,6,4.12
1939,7,4.63
1939,8,5.66
1939,9,6.51
1939,10,7.04
1939,11,7.47
1939,12,7.66
1940,1,7.06
1940,2,5.96
1940,3,5.37
1940,4,5.52
1940,5,5.84
1940,6,6.13
1940,7,6.28
1940,8,6.41
1940,9,6.61
1940,10,7.19
1940,11,8.01
1940,12,8.42
1941,1,8.26
1941,2,7.9
1941,3,7.47
1941,4,6.95
1941,5,6.32
1941,6,5.75
1941,7,5.21
1941,8,4.72
1941,9,4.51
1941,10,5.3
1941,11,6.77
1941,12,7.56
1942,1,7.09
1942,2,6.13
1942,3,5.37
1942,4,4.93
1942,5,4.59
1942,6,4.41
1942,7,4.36
1942,8,4.33
1942,9,4.32
1942,10,4.41
1942,11,4.6
1942,12,4.7
1943,1,4.33
1943,2,3.64
1943,3,3.27
1943,4,3.36
1943,5,3.55
1943,6,3.65
1943,7,3.62
1943,8,3.58
1943,9,3.55
1943,10,3.65
1943,11,3.83
1943,12,3.93
1944,1,3.76
1944,2,3.44
1944,3,3.27
1944,4,3.4
1944,5,3.67
1944,6,3.84
1944,7,3.88
1944,8,3.9
1944,9,3.93
1944,10,4.08
1944,11,4.3
1944,12,4.41
1945,1,4.09
1945,2,3.49
1945,3,3.17
1945,4,3.52
1945,5,4.16
1945,6,4.51
1945,7,4.23
1945,8,3.73
1945,9,3.46
1945,10,3.6
1945,11,3.88
1945,12,4.03
1946,1,3.86
1946,2,3.53
1946,3,3.36
1946,4,3.37
1946,5,3.41
1946,6,3.46
1946,7,3.73
1946,8,4.18
1946,9,4.41
1946,10,4.3
1946,11,4.08
1946,12,3.93
1947,1,3.9
1947,2,3.88
1947,3,3.84
1947,4,3.64
1947,5,3.33
1947,6,3.17
1947,7,3.17
1947,8,3.17
1947,9,3.17
1947,10,3.24
1947,11,3.38
1947,12,3.46
1948,1,3.31
1948,2,3.03
1948,3,2.88
1948,4,2.96
1948,5,3.13
1948,6,3.27
1948,7,3.34
1948,8,3.39
1948,9,3.46
1948,10,3.56
1948,11,3.69
1948,12,3.74
1949,1,3.59
1949,2,3.32
1949,3,3.17
1949,4,3.17
1949,5,3.17
1949,6,3.17
1949,7,3.39
1949,8,3.81
1949,9,4.03
1949,10,3.99
1949,11,3.88
1949,12,3.74
1950,1,3.48
1950,2,3.15
1950,3,2.98
1950,4,3.05
1950,5,3.2
1950,6,3.36
1950,7,3.52
1950,8,3.68
1950,9,3.84
1950,10,4
1950,11,4.15
1950,12,4.22
1951,1,3.94
1951,2,3.39
1951,3,2.98
1951,4,2.79
1951,5,2.65
1951,6,2.6
1951,7,3.09
1951,8,4.01
1951,9,4.51
1951,10,4.35
1951,11,4.02
1951,12,3.74
1952,1,3.61
1952,2,3.5
1952,3,3.36
1952,4,3.09
1952,5,2.76
1952,6,2.6
1952,7,2.66
1952,8,2.81
1952,9,2.98
1952,10,3.16
1952,11,3.39
1952,12,3.65
1953,1,2.98
1953,2,3.27
1953,3,2.6
1953,4,2.79
1953,5,2.88
1953,6,2.79
1953,7,2.98
1953,8,2.6
1953,9,2.88
1953,10,3.07
1953,11,4.32
1953,12,2.41
1954,1,3.07
1954,2,4.22
1954,3,3.17
1954,4,2.69
1954,5,2.31
1954,6,4.03
1954,7,2.79
1954,8,2.79
1954,9,2.98
1954,10,2.88
1954,11,4.89
1954,12,4.89
1955,1,4.89
1955,2,3.07
1955,3,2.88
1955,4,2.69
1955,5,3.36
1955,6,3.55
1955,7,2.79
1955,8,2.88
1955,9,2.88
1955,10,3.55
1955,11,3.36
1955,12,2.88
1956,1,3.74
1956,2,3.93
1956,3,2.6
1956,4,2.69
1956,5,3.07
1956,6,2.98
1956,7,3.07
1956,8,2.88
1956,9,3.27
1956,10,3.36
1956,11,2.69
1956,12,3.93
1957,1,3.55
1957,2,4.89
1957,3,3.07
1957,4,2.41
1957,5,2.79
1957,6,2.69
1957,7,2.69
1957,8,2.98
1957,9,2.88
1957,10,2.98
1957,11,3.84
1957,12,3.36
1958,1,3.46
1958,2,3.65
1958,3,2.31
1958,4,2.5
1958,5,2.69
1958,6,2.69
1958,7,2.88
1958,8,2.88
1958,9,3.46
1958,10,4.22
1958,11,3.65
1958,12,3.07
1959,1,3.65
1959,2,2.6
1959,3,2.31
1959,4,2.5
1959,5,2.31
1959,6,2.88
1959,7,2.69
1959,8,2.79
1959,9,2.5
1959,10,2.69
1959,11,2.5
1959,12,2.69
1960,1,2.69
1960,2,2.98
1960,3,2.5
1960,4,2.79
1960,5,2.88
1960,6,2.88
1960,7,2.79
1960,8,2.79
1960,9,2.98
1960,10,4.12
1960,11,5.08
1960,12,4.79
1961,1,3.55
1961,2,3.46
1961,3,3.36
1961,4,2.69
1961,5,2.88
1961,6,2.79
1961,7,2.69
1961,8,2.88
1961,9,2.69
1961,10,2.88
1961,11,2.69
1961,12,2.79
1962,1,3.55
1962,2,2.79
1962,3,2.69
1962,4,3.07
1962,5,2.88
1962,6,2.5
1962,7,2.69
1962,8,2.69
1962,9,2.79
1962,10,3.17
1962,11,3.27
1962,12,3.36
1963,1,2.79
1963,2,2.79
1963,3,3.65
1963,4,2.79
1963,5,2.22
1963,6,2.22
1963,7,2.41
1963,8,2.31
1963,9,2.69
1963,10,2.6
1963,11,4.51
1963,12,2.6
1964,1,2.31
1964,2,2.41
1964,3,3.17
1964,4,2.69
1964,5,2.02
1964,6,3.93
1964,7,3.84
1964,8,3.36
1964,9,3.27
1964,10,3.36
1964,11,3.65
1964,12,3.65
1965,1,4.41
1965,2,3.17
1965,3,3.46
1965,4,3.55
1965,5,3.93
1965,6,4.03
1965,7,4.41
1965,8,3.65
1965,9,4.51
1965,10,4.32
1965,11,3.93
1965,12,6.03
1966,1,3.84
1966,2,4.51
1966,3,3.27
1966,4,4.32
1966,5,3.93
1966,6,3.36
1966,7,3.46
1966,8,3.55
1966,9,4.03
1966,10,6.23
1966,11,3.65
1966,12,5.75
1967,1,4.98
1967,2,4.32
1967,3,3.27
1967,4,2.98
1967,5,3.84
1967,6,2.98
1967,7,3.27
1967,8,3.17
1967,9,3.36
1967,10,4.51
1967,11,4.22
1967,12,3.84
1968,1,3.84
1968,2,2.88
1968,3,2.88
1968,4,3.07
1968,5,4.12
1968,6,3.55
1968,7,5.56
1968,8,3.65
1968,9,4.41
1968,10,5.37
1968,11,4.6
1968,12,4.22
1969,1,3.65
1969,2,2.31
1969,3,2.31
1969,4,2.22
1969,5,3.55
1969,6,3.36
1969,7,3.55
1969,8,3.27
1969,9,2.88
1969,10,2.88
1969,11,3.55
1969,12,4.22
1970,1,4.22
1970,2,3.65
1970,3,2.31
1970,4,2.69
1970,5,2.6
1970,6,3.07
1970,7,3.17
1970,8,2.79
1970,9,2.69
1970,10,2.69
1970,11,3.84
1970,12,3.46
1971,1,4.12
1971,2,2.98
1971,3,2.69
1971,4,3.27
1971,5,3.07
1971,6,5.08
1971,7,2.79
1971,8,2.88
1971,9,2.6
1971,10,3.27
1971,11,4.03
1971,12,3.46
1972,1,3.65
1972,2,4.6
1972,3,3.07
1972,4,2.69
1972,5,2.79
1972,6,2.98
1972,7,3.17
1972,8,2.98
1972,9,2.98
1972,10,3.27
1972,11,3.17
1972,12,4.7
1973,1,3.17
1973,2,2.6
1973,3,2.6
1973,4,2.69
1973,5,2.6
1973,6,2.41
1973,7,2.5
1973,8,2.22
1973,9,2.12
1973,10,1.93
1973,11,2.02
1973,12,2.02
1974,1,2.41
1974,2,2.41
1974,3,1.83
1974,4,1.74
1974,5,2.12
1974,6,2.6
1974,7,4.12
1974,8,3.74
1974,9,4.98
1974,10,6.42
1974,11,6.51
1974,12,3.27
1975,1,5.37
1975,2,3.74
1975,3,3.93
1975,4,3.74
1975,5,4.32
1975,6,4.22
1975,7,4.22
1975,8,3.93
1975,9,4.03
1975,10,4.12
1975,11,2.6
1975,12,2.79
1976,1,2.31
1976,2,2.12
1976,3,2.31
1976,4,2.98
1976,5,2.88
1976,6,2.5
1976,7,2.79
1976,8,2.88
1976,9,3.55
1976,10,3.36
1976,11,3.27
1976,12,3.27
1977,1,4.03
1977,2,4.41
1977,3,2.79
1977,4,2.8
1977,5,2.15
1977,6,3.7
1977,7,3.43
1977,8,4.2
1977,9,3.05
1977,10,2.84
1977,11,4.41
1977,12,4.71
1978,1,3.52
1978,2,3.49
1978,3,3.1
1978,4,2.99
1978,5,5.08
1978,6,3.99
1978,7,4.36
1978,8,4.08
1978,9,3.47
1978,10,3.57
1978,11,3.49
1978,12,4.55
1979,1,4.13
1979,2,3.73
1979,3,4.41
1979,4,3.28
1979,5,3.26
1979,6,3.68
1979,7,2.36
1979,8,3.49
1979,9,2.68
1979,10,3.36
1979,11,3.47
1979,12,4.06
1980,1,3.32
1980,2,2.99
1980,3,3.31
1980,4,3.41
1980,5,2.86
1980,6,3.99
1980,7,3.2
1980,8,3.57
1980,9,5.04
1980,10,5.5
1980,11,5.09
1980,12,3.49
1981,1,3.57
1981,2,4.31
1981,3,4.57
1981,4,4.08
1981,5,4.78
1981,6,5.83
1981,7,2.81
1981,8,5.25
1981,9,4.01
1981,10,5.46
1981,11,4.88
1981,12,4.41
1982,1,3.62
1982,2,3.47
1982,3,3.74
1982,4,4.46
1982,5,3.36
1982,6,3.95
1982,7,5.57
1982,8,3.23
1982,9,3.26
1982,10,6.14
1982,11,6.13
1982,12,5.25
1983,1,3.73
1983,2,4.71
1983,3,4.99
1983,4,4.41
1983,5,5.71
1983,6,5.3
1983,7,3.99
1983,8,3.83
1983,9,3.31
1983,10,5.2
1983,11,4.29
1983,12,4.69
1984,1,5.97
1984,2,3.1
1984,3,3.31
1984,4,3.31
1984,5,4.24
1984,6,3.99
1984,7,3.61
1984,8,3.01
1984,9,3.15
1984,10,4.41
1984,11,5.04
1984,12,5.11
1985,1,5.46
1985,2,4.2
1985,3,2.87
1985,4,4.1
1985,5,2.84
1985,6,3.99
1985,7,6.51
1985,8,2.53
1985,9,2.31
1985,10,2.33
1985,11,2.52
1985,12,4.18
1986,1,2.1
1986,2,1.68
1986,3,2.31
1986,4,4.41
1986,5,3.3
1986,6,3.21
1986,7,3.36
1986,8,3.78
1986,9,8.82
1986,10,2.31
1986,11,3.78
1986,12,3.15
1987,1,3.15
1987,2,1.89
1987,3,2.08
1987,4,2.31
1987,5,2.73
1987,6,2.31
1987,7,3.15
1987,8,2.52
1987,9,2.52
1987,10,2.52
1987,11,2.52
1987,12,2.52
1988,1,5.46
1988,2,3.86
1988,3,2.37
1988,4,2.1
1988,5,3.15
1988,6,2.73
1988,7,3.57
1988,8,1.47
1988,9,2.63
1988,10,3.99
1988,11,2.52
1988,12,3.57
1989,1,3.57
1989,2,2.94
1989,3,6.41
1989,4,1.68
1989,5,3.57
1989,6,2.26
1989,7,0.84
1989,8,2.52
1989,9,1.05
1989,10,2.16
1989,11,3.15
1989,12,2.94
1990,1,1.68
1990,2,2.94
1990,3,2.1
1990,4,3.55
1990,5,2.54
1990,6,3.89
1990,7,4.5
1990,8,5.7
1990,9,3.21
1990,10,4.76
1990,11,6.05
1990,12,3.68
1991,1,4.73
1991,2,2.1
1991,3,6.5
1991,4,7.34
1991,5,5.29
1991,6,4.12
1991,7,5.33
1991,8,4.34
1991,9,2.98
1991,10,3.26
1991,11,3.76
1991,12,4.64
1992,1,5.05
1992,2,4.4
1992,3,3.68
1992,4,6.17
1992,5,7.99
1992,6,4.2
1992,7,4.73
1992,8,5.09
1992,9,5.45
1992,10,5.94
1992,11,6.43
1992,12,3.74
1993,1,1.05
1993,2,2.3
1993,3,1.45
1993,4,6.69
1993,5,3.55
1993,6,1.97
1993,7,2.99
1993,8,2.12
1993,9,1.25
1993,10,1.07
1993,11,1.97
1993,12,1.78
1994,1,3.68
1994,2,4.23
1994,3,4.67
1994,4,5.12
1994,5,4.2
1994,6,3.55
1994,7,4.73
1994,8,6.5
1994,9,4.4
1994,10,7.22
1994,11,9.83
1994,12,7.47
1995,1,5.12
1995,2,9.84
1995,3,5.12
1995,4,4.4
1995,5,9.32
1995,6,11.94
1995,7,10.69
1995,8,5.97
1995,9,5.55
1995,10,5.12
1995,11,4.14
1995,12,4.69
1996,1,5.25
1996,2,8.79
1996,3,3.02
1996,4,3.02
1996,5,4.2
1996,6,9.32
1996,7,9.38
1996,8,6.79
1996,9,4.2
1996,10,5.35
1996,11,6.5
1996,12,9.45
1997,1,5.8
1997,2,6.3
1997,3,3.7
1997,4,1.2
1997,5,3.15
1997,6,5.1
1997,7,5.9
1997,8,6.7
1997,9,6.25
1997,10,5.8
1997,11,7.1
1997,12,5.34
1998,1,4.65
1998,2,3.81
1998,3,7.67
1998,4,6
1998,5,4.87
1998,6,4.46
1998,7,4.86
1998,8,4.82
1998,9,4.86
1998,10,8.42
1998,11,6.57
